#OK
#SQL= select *
#	  from millimil..MMField
#	 where snapnum=63 
#	   
#MAXROWS UNLIMITED
#QUERYTIMEOUT 30 sec
#DATE 2022-06-28 07:42:28.918 CEST
#QUERYTIME 55 millisec
#COLUMN 1 name=snapnum JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 3 name=cic JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=g1_25 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=g2_5 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=g5 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=g10 JDBC_TYPE=7 JDBC_TYPENAME=real
#snapnum,phkey,cic,g1_25,g2_5,g5,g10
63,0,0.16314912,0.78177035,1.1412076,1.367784,1.0300438
63,1,0.97223556,1.8805481,1.2522999,1.1570189,1.0054245
63,2,0.12152945,0.6363328,0.88862455,0.9851162,0.96092224
63,3,0.21975186,0.32199454,0.7331102,1.1639479,0.9868186
63,4,0.14983082,0.22166428,0.6256379,1.1901038,0.97682625
63,5,0.24805324,0.2824108,0.60006654,1.0016286,0.9529646
63,6,0.21642229,0.6819455,0.9841671,1.2054282,0.99982536
63,7,0.14816603,0.8982249,1.1767235,1.4297851,1.0220423
63,8,0.1648139,0.48563543,1.1649578,1.4684969,1.0190179
63,9,0.11487029,0.37864804,1.1776876,1.4656595,1.0166924
63,10,0.1664787,0.42750067,0.8342426,1.2521137,1.0031087
63,11,0.2780194,0.43633267,0.82604396,1.2398612,1.0007085
63,12,0.37457705,0.26756072,0.4589985,1.0207622,0.95189625
63,13,0.099887215,0.21493779,0.4805065,1.0374804,0.95317054
63,14,0.37124747,0.25024727,0.66163784,1.2203566,0.96930444
63,15,0.39954886,0.2547967,0.5915638,1.2137662,0.9722895
63,16,0.14816603,0.17782937,0.26872334,0.92977506,0.9160058
63,17,0.20809835,0.17327517,0.3196757,0.93829495,0.91355026
63,18,0.15815476,0.1635689,0.2888391,0.80656177,0.8964696
63,19,0.19644485,0.1905318,0.26219156,0.79124844,0.8951877
63,20,0.056602754,0.11065792,0.19480002,0.59447193,0.8356593
63,21,0.12152945,0.12397845,0.22054282,0.6038597,0.8379078
63,22,0.08323935,0.10774,0.18589847,0.6830604,0.85458475
63,23,0.09489285,0.10409079,0.16019645,0.67821664,0.8555123
63,24,0.063261904,0.11133316,0.18106598,0.69291306,0.8602874
63,25,0.056602754,0.13231345,0.28066385,0.73008555,0.8717131
63,26,0.3296278,0.21340464,0.42649227,0.9365824,0.93224937
63,27,0.2147575,0.19127269,0.301003,0.9262895,0.92110527
63,28,0.38456577,0.22805773,0.3352593,0.7893625,0.8972762
63,29,0.07491541,0.20580707,0.5158506,0.8020506,0.9067209
63,30,0.19810964,0.15489386,0.31451294,0.6404732,0.84793025
63,31,0.11320551,0.13888416,0.22002615,0.6074226,0.8378936
63,32,0.18812092,0.1917278,0.28514078,0.5540111,0.815495
63,33,0.09156328,0.19810449,0.36081278,0.5832138,0.82376415
63,34,0.06659147,0.3213935,0.56206703,0.7099689,0.8807565
63,35,0.24971803,0.22179684,0.37704602,0.6959711,0.8733743
63,36,0.17480262,0.29247883,0.39458397,0.637376,0.85135865
63,37,0.46614033,0.46912524,0.5162785,0.6518748,0.85643524
63,38,0.36958268,0.33098575,0.39447847,0.5500933,0.8011935
63,39,0.43450937,0.30951163,0.35396132,0.5238766,0.79498816
63,40,0.25304762,0.28360683,0.3330101,0.51329285,0.79838675
63,41,0.17313783,0.29707175,0.34263104,0.5262192,0.80735487
63,42,0.06492669,0.18718143,0.28398052,0.55489624,0.82164377
63,43,0.09655764,0.15875895,0.26070803,0.54260993,0.81603676
63,44,0.09822243,0.15708251,0.29582196,0.6971542,0.8745194
63,45,0.086568914,0.15338637,0.31443536,0.7173509,0.8797258
63,46,0.1764674,0.23742159,0.35237184,0.66040754,0.8648376
63,47,0.17313783,0.1994678,0.33844748,0.63814026,0.8557561
63,48,0.12652381,0.27979967,0.44819984,0.8022835,0.91330886
63,49,0.24472366,0.41742122,0.4736923,0.8308702,0.9234377
63,50,0.20643358,0.2498278,0.46716198,0.91130537,0.93741447
63,51,0.11154072,0.23161624,0.449549,0.8867881,0.9316719
63,52,0.5693571,0.4628606,0.78372246,1.0828574,0.9827491
63,53,0.61097676,0.5704309,0.8497281,1.1072158,0.99012643
63,54,0.82906383,0.54919106,0.85081935,1.0187107,0.9789311
63,55,0.15815476,0.34686834,0.73643416,0.9874669,0.9666667
63,56,0.20643358,0.38554457,0.7237441,0.95677525,0.95749325
63,57,0.4561516,0.56050086,0.89082545,1.0504689,0.97770023
63,58,0.18479134,0.32090288,0.59485215,0.87028253,0.9290432
63,59,0.39788407,0.39192677,0.52953887,0.7875079,0.90700734
63,60,1.01552,0.7449863,0.73791164,0.7832502,0.9099667
63,61,0.31297994,0.9846421,0.9184796,0.86099637,0.9346037
63,62,1.8595669,2.1109872,1.2079182,1.0127001,0.9805129
63,63,0.24638845,0.775739,0.8953374,0.9273562,0.9573341
63,64,0.31131515,0.44022658,0.5914732,0.88787043,0.93724775
